,Cluster,Edo.,Localidad,Status Sensor*,Serie,Lat,Lon,Nombre,NOTA
1,Cuernavaca,Mor.,Jiutepec,Conectado,1604123,18.901763,-99.16859,Instituto Superior Azteca,
2,Cuernavaca,Mor.,Cuernavaca,Conectado,1604118,18.923021,-99.232322,"Cuernavaca, Universitario Fray Luca Paccioli",
3,Iguala,Gro.,Iguala,Conectado,1604139,18.344933,-99.523421,"Colegio de Educacion Profesional Tecnica del Estado de Guerrero, Plantel Iguala 112",
4,Iguala,Gro.,Iguala,Conectado,1604138,18.336187,-99.54873,"Iguala, Gro. ( Universidad Fray Luca Paccioli )",
5,Chilpancingo,Gro.,Chilpancingo,Conectado,1604129,17.533723,-99.495265,Hotel Parque Sur,
6,Chilpancingo,Gro.,Chilpancingo,Conectado,1604135,17.565259,-99.50911,Hotel Real del Sol,
7,Acapulco,Gro.,acapulco,Conectado,1604127,16.853716,-99.85796,"Av. Costera Miguel Aleman 75, Fracc. Club Deportivo, Deportivo, 39690 Acapulco, Gro.",
8,Acapulco,Gro.,acapulco,Conectado,1604381,16.854671,-99.858985,Hotel Acapulco Malibu,
9,Acapulco,Gro.,acapulco,Conectado,1604065,16.853267,-99.84701,Hotel Calinda Beach,
10,Atoyac,Gro.,Atoyac,Conectado,1604121,17.212685,-100.432671,Abarrotes El Surtidor,
11,San Jeronimo,Gro.,San Jeronimo,Conectado,1604067,17.135201,-100.471035,Centro de Salud San Jeronimo,
12,San Jeronimo,Gro.,San Jeronimo,Conectado,1604147,17.136232,-100.46865,Palacio Municipal de Gobierno Oficinas de Benito Juarez,
13,Tecpan de Galeana,Gro.,Tecpan,Conectado,1604133,17.222716,-100.632347,H. Ayuntamiento Municipio de Tecpan de Galeana,
14,Petatlan,Gro.,Petatlan,Conectado,1604122,17.537974,-101.274199,Vinateria Manolos,
15,Petatlan,Gro.,Petatlan,Conectado,1604136,17.531348,-101.269902,Balneario Barreto,antes 1604131 se cambio por una descarga electrica
16,Ixtapa Zihuatanejo,Gro.,Ixtapa,Conectado,1604099,17.678413,-101.641431,Azul Ixtapa Beach Resort & Convention Center,
17,Ixtapa Zihuatanejo,Gro.,Zihuatanejo,Conectado,1604137,17.633655,-101.54748,Hotel Catalina Beach Zihuatanejo Rest Resort,
18,Lazaro Cardenas,Mich.,Lazaro Cardenas,Conectado,1604112,17.967737,-102.22137,"Morelia Medica Center, S. A. de C. V.",
19,Lazaro Cardenas,Mich.,Lazaro Cardenas,Conectado,1604479,17.967264,-102.199251,Colegio Patria de Cardenas,
20,Lazaro Cardenas,Mich.,Lazaro Cardenas,Conectado,1604069,17.953328,-102.179978,"KCSM, Isla Cayacal",
21,San Marcos,Gro.,San Marcos,Conectado,1604140,16.795641,-99.388566,San Marcos ( Proteccion Civil San Marcos ),
22,San Marcos,Gro.,San Marcos,conectado,1604094,16.793282,-99.387917,Consultorio Medico La Paz,
23,Ayutla,Gro.,Ayutla,Conectado,1604144,16.96514,-99.097242,Palacio Municipal de Gobierno,
24,Cuajinicuilapa,Gro.,Cuajinicuilapa,Conectado,1604095,16.469438,-98.404296,Hotel Costa Dorada,
25,Cuajinicuilapa,Gro.,Cuajinicuilapa,Conectado,1604151,16.472229,-98.417195,"Cuajinicuilapa, Proteccion Civil",
26,Ometepec,Gro.,Ometepec,Conectado,1604057,16.6908539,-98.4079265,Hospital General de Ometepec,
27,Pinotepa Nacional,Oax.,Pinotepa,Conectado,1604159,16.34237,-98.054945,Pinotepa Nacional (Hotel Carmona),
28,Pinotepa Nacional,Oax.,Pinotepa,Conectado,1604056,16.3487206,-98.0605403,Hotel Las Gaviotas,
29,Pinotepa Nacional,Oax.,Pinotepa,Conectado,1604113,16.33905,-98.048255,Proteccion Civil ,
30,Oaxaca Capital,Oax.,Oaxaca,Conectado,1604063,17.096638,-96.71875,Casa de Jorge,
31,Oaxaca Capital,Oax.,Oaxaca,Conectado,1604054,17.078971,-96.707312,Oaxaca,
32,Monterrey,N.L.,San Pedro,Conectado,1604066,25.695537,-100.320245,SportsWorld Monterrey,
33,Puebla Capital,Pue.,Puebla,Conectado,1604058,19.068377,-98.269292,Puebla Poniente,
34,Puebla Capital,Pue.,Puebla,Conectado,1604158,19.036854,-98.198628,Puebla Centro (Jose Luis Rendon),
35,Puebla Capital,Pue.,Puebla,Conectado,1604068,19.012003,-98.200392,Puebla Sur,
36,Guadalajara,Jal.,Zapopan,Conectado,1603408,20.681787,-103.422072,"Jardines Vallarta, Zapopan, Jalisco",
37,Guadalajara,Jal.,Zapopan,Conectado,1609091,20.720322,-103.393559,Hotel Zapopan (Jalisco),
38,Guadalajara,Jal.,Zapopan,Conectado,1604394,20.580334,-103.445192,Flextronics Zapopan Jal,
39,Guadalajara,Jal.,Zapopan,Conectado,1604286,20.711956,-103.409606,Sports World Puerta de Hierro,
40,Guadalajara,Jal.,Guadalajara,Conectado,1604134,20.680043,-103.382241,Sports World Ladron de Guevara,
41,Vallarta,Jal.,puerto vallarta,Conectado,1604399,20.636702,-105.210862,Instituto SPAC,
42,Manzanillo,Col.,Manzanillo,Conectado,1604398,19.104872,-104.341991,Hotel Barcelo Karmina,
43,Manzanillo,Col.,Manzanillo,Conectado,1604401,19.080588,-104.288069,Colima,
44,Manzanillo,Col.,Barra de Navidad,Conectado,1604403,19.204333,-104.684467,Hotel Bogavante,
45,Huatulco,Oax.,Huatulco,Conectado,1604391,15.759245,-96.101365,Villas & Resort Luz de Luna,
46,Huatulco,Oax.,Huatulco,Conectado,1604397,15.773434,-96.096669,Barcelo Huatulco,
47,Salina Cruz,Oax.,Salina Cruz,Conectado,1604392,16.201422,-95.195409,"Instituto Fray Bartolome de las Casas, Tehuantepec Oaxaca",Estaba el sensor 1604393 pero en el infosite esta el 1604392
48,Salina Cruz,Oax.,Salina Cruz,Conectado,1604396,16.204663,-95.207198,Instituto Maria Teresa Rivera,
49,Pijijiapan,Chis.,Pijijiapan,Conectado,1604062,15.685575,-93.202293,Proteccion Civil Pijijiapan,Se piensa cambiar de sitio al hospital comunitario de pijijiapan
50,Pijijiapan,Chis.,Pijijiapan,Conectado,1604406,15.690331,-93.209708,Universidad del Sureste de Mexico,
51,Tapachula,Chis.,Tapachula,Conectado,1604395,14.870955,-92.288539,Hotel San Francisco Tapachula,
52,Tapachula,Chis.,Tapachula,Conectado,1604482,14.907401,-92.262391,Hotel Cervantino,
53,Tonala,Chis.,Tonalá,Conectado,1604100,16.089702,-93.744761,Hospital General Juan C. Corzo - Informatica,"sensor 1609134 (oficinas de skyalert, dar de baja del infosite, africa) se quito del sitio y se puso 1604100"
54,Tonala,Chis.,Tonalá,Conectado,1603382,16.0961801,-93.7665599,Ministerio Publico de Tonala,
55,Puerto Escondido,Oax.,Puerto Escondido,Conectado,1604055,15.857984,-97.058766,Hotel Santa Fe,
56,Puerto Escondido,Oax.,Puerto Escondido,Conectado,1604124,15.854499,-97.056007,Bungalows Zicatela,
57,Merida,Yuc.,Merida,Conectado,1604410,21.019288,-89.618947,Sports world merida,
